clip_id	sec	frames	sample_tokens	text
LJ005-0210	1.958	25	221	At Walsall, in Staffordshire,
LJ005-0212	3.525	45	384	and the prison allowance was still limited to bread and water.
LJ005-0214	9.620	121	1010	Some reforms had certainly been introduced, such as the abolition of irons, already referred to, and the establishment of male and female infirmaries.
LJ005-0216	7.983	100	837	But it was pointed out in eighteen twenty-three that defective construction must always bar the way to any radical improvement in Newgate.
LJ005-0218	3.455	44	373	The chapel still continued incommodious and insufficient
LJ005-0220	7.379	93	783	In eighteen twenty-four Newgate had no glass in its windows, except in the infirmary and one ward of the chapel yard;
LJ005-0222	5.928	75	635	and as the window-frames would not shut tight, the prisoners complained much of the cold, especially at night.
LJ005-0224	2.712	34	295	but nothing had been done to improve the prison buildings.
LJ005-0226	5.708	72	604	and that consequently the observance of their most important provisions was habitually neglected.
LJ005-0228	4.175	53	448	As yet no rules or regulations had been printed or prepared.
LJ005-0230	6.578	83	697	These justices were to inspect every part of the prison, and examine into the state and condition of prisoners.
LJ005-0232	5.371	68	576	Idleness was still the general rule for all prisoners in Newgate, in defiance of the law.
LJ005-0234	7.774	98	820	The visits of friends was once more unreservedly allowed, and these incomers freely brought in extra provisions and beer.
LJ005-0236	6.033	76	641	They were not confined apart from each other, but were crowded thirty or forty together in the press yard,
LJ005-0238	5.441	69	588	I shall have more to say on this subject, and upon the state of Newgate generally, in the following chapter.
LJ005-0240	9.376	118	985	Mr. Buxton had succeeded to the great work which William Wilberforce had commenced, and led the repeated attacks upon slavery in British colonies
LJ005-0242	9.423	118	983	In the year immediately preceding this, Parliament was too busy with the great question of its own reform to spare much time for domestic legislation.
LJ005-0244	3.769	48	409	which dealt with jails of all classes, as well as transportation.
LJ005-0248	8.622	108	904	and stated that in his opinion Newgate, as the common jail of Middlesex, was wholly inadequate to the proper confinement of its prisoners.
LJ005-0250	5.940	75	631	The prisoners were crowded together in the jail, contrary to the requirements of the four George the fourth
LJ005-0252	3.560	45	385	A committee was appointed, under the presidency of the Duke of Richmond
LJ005-0254	6.996	88	738	upon the rules and discipline therein established with regard to the treatment of unconvicted as well as convicted persons."
LJ005-0256	9.527	120	1001	in order to insure uniformity of discipline. It met on the thirty-first March, eighteen thirty-five, and continued its sittings well into July
LJ005-0258	6.822	86	718	embodying recommendations which may be said to have formed the basis of modern prison management.
LJ005-0260	4.558	57	482	a theory which did not become a practical fact for forty more years.
LJ005-0262	7.507	94	785	it was suggested that the rules framed for prison government should be subjected to the Secretary of State for approval,
LJ005-0264	8.099	102	854	inspectors of prisons should be appointed, who should visit all the prisons from time to time and report to the Secretary of State.
LJ005-0266	7.542	95	796	that food and fuel should be issued in kind, and never provided by the prisoners themselves out of monies granted them.
LJ005-0268	9.249	116	965	should be strictly prohibited, "as a stimulating luxury inconsistent with any notion of strict discipline and the due pressure of just punishment."
LJ005-0270	6.242	79	665	which should be paid into general prison funds, and no part of them handed over to the prisoners themselves.
LJ005-0272	8.088	102	853	Various other recommendations were made as regards the appointment of chaplain and schoolmasters; the limitation of the powers of wardsmen,
LJ005-0274	7.983	100	833	The committee most of all insisted upon the entire individual separation of prisoners, except during the hours of labor,
LJ005-0276	3.920	49	414	and for securing a proper system of prison discipline.
LJ005-0278	7.252	91	760	which was eventually to replace the attempted arrangement of prisoners by classes according to antecedents and crimes,
LJ005-0280	3.467	44	373	The Lords' Committee fully recognized the painful fact
LJ005-0282	4.709	59	499	"the comparatively innocent are seduced, the unwary are entrapped,
LJ005-0284	2.782	35	300	of more depraved and systematic criminals.
LJ005-0286	7.693	97	813	still under the borough corporations. The Commons' Committee gave it as their opinion that they were in a deplorable state.
LJ005-0288	3.095	39	333	when speaking more particularly of the borough jails.
LJ005-0290	6.694	84	701	Instances rarely occur in which the borough jails admit of any proper classification of the prisoners.
LJ005-0292	4.779	60	510	In many of the smaller boroughs they are totally unfit for the confinement of human beings.
LJ005-0294	6.625	83	700	It was frequently stated in evidence that the jail of the borough was in so unfit a state for the reception of prisoners,
LJ005-0298	6.915	87	732	to the county jails from such prisons as were past improvement, and that the borough funds should be charged for the accommodation.
LJ005-0300	4.094	52	439	and the establishment of municipal institutions upon a proper footing,
LJ006-0004	7.844	99	832	But this digression was necessary in order to present a more complete picture of the state of jails in the early part of the present century,
LJ006-0006	7.112	89	750	I shall now return to the great jail of the city of London, and give a more detailed account of its condition and inner life
LJ006-0008	7.751	97	808	These gentlemen were appointed in October eighteen thirty-five, owing to the strong representations of the Lords' Committee
LJ006-0010	8.482	107	892	Mr. Samuel Hoare, when examined, considered it indispensably necessary, to carry out whatever system might be established,
LJ006-0012	5.383	68	572	but he would not arm them with any authority lest their cooperation might be offensive.
LJ006-0014	6.160	78	656	They should be persons, he thought, selected from the highest class; the duty was most important,
LJ006-0016	2.747	35	298	These considerations no doubt had weight
LJ006-0018	4.628	58	492	One was Mr. William Crawford, the other the Rev. Whitworth Russell.
LJ006-0020	6.277	79	664	William Crawford had been one of the promoters and managers of the Philanthropic Society's farm school.
LJ006-0022	7.914	99	827	At that time the mild and intelligent prison discipline in force in Pennsylvania, the legacy of the old Quaker immigrants,
LJ006-0024	4.976	63	530	Several European states had dispatched emissaries to examine and report upon them.
LJ006-0028	8.552	107	894	Mr. Crawford was thoroughly versed in the still imperfectly understood science of prison management, and fully qualified for his new duties.
LJ006-0032	7.751	97	815	Messrs. Crawford and Russell proceeded to carry out their new functions with commendable energy, and without a moment's loss of time.
LJ006-0034	5.905	74	621	They attended early and late; they mustered the prisoners, examined into their condition,
LJ006-0036	5.557	70	591	They visited the wards after locking-up time, and saw with their own eyes what went on.
LJ006-0039	5.998	75	632	and limited it to Newgate alone. Newgate indeed became the sole theme of their first report.
LJ006-0041	3.490	44	374	Changes introduced under pressure had been only skin deep.
LJ006-0045	3.885	49	419	All these evils were set forth at length in the inspectors' first report.
LJ006-0047	5.603	71	600	The prison had become more or less a place of detention only, harboring mainly those awaiting trial.
LJ006-0049	6.532	82	691	an occasional prisoner or two committed by the Houses of Parliament, the Courts of King's Bench, Common Pleas,
LJ006-0051	4.512	57	483	and for offenses of the most varying description, by the Central Criminal Court.
LJ006-0053	5.266	66	558	and the whole by proper management might have been so accommodated as to prevent overcrowding.
LJ006-0055	5.359	67	566	and when the population fell they shut up one half the jail and crowded up the other.
LJ006-0057	8.482	107	899	Not only were the wards thus needlessly crammed, and for no reason but the niggardliness of the corporation which refused a proper supply of bedding
LJ006-0059	6.567	83	695	the felon and the misdemeanant, the sane and the insane, the old and young offender.
LJ006-0061	2.318	29	254	and "the greatest contempt shown for the law."
LJ006-0065	8.657	109	910	were associated together, "of every variety of age, habit, and delinquency, without employment, oversight, or control."
LJ006-0069	4.419	56	477	consign many of the more petty and unpracticed offenders to this place,
LJ006-0071	8.494	107	901	No doubt the governor for the time being, Mr. Cope, was in a great measure to blame for all this, and for the want of proper classification.
LJ006-0073	9.005	113	944	of his many manifest duties, but I shall here confine myself to animadverting on his neglect as regards the appropriation of his prison.
LJ006-0075	6.056	76	642	He saw certain rooms fill up, and yet took no steps to open others that were locked up and empty.
LJ006-0077	8.424	106	888	The fact was, he did not keep the classification of prisoners on first arrival in his own hands, nor even in that of his officers.
LJ006-0079	3.711	47	399	The inspectors found that prisoners had their places assigned to them
LJ006-0081	3.978	50	425	The wardsman still exacted dues, of which more directly,
LJ006-0083	3.026	38	325	"So great is the authority exercised by him,
LJ006-0085	8.680	109	912	If a man is poor and ragged, however inexperienced in crime, or however trifling may be the offense for which he has been committed
LJ006-0087	7.356	92	771	It must be admitted that so far but little effort had been made to counteract the evils of indiscriminate association.
LJ006-0089	4.117	52	443	to be pitchforked by chance anywhere, into any sort of company,
LJ006-0093	8.715	109	913	So closely did they lie together, that the inspectors at their night visits found it difficult in stepping across the room to avoid treading on them.
LJ006-0095	9.307	117	981	The rugs used were never washed; an order existed that the bedding should be taken into the yards to be aired, but it was not very punctually obeyed.
LJ006-0097	3.316	42	360	Water might not be taken into the ward for washing purposes.
LJ006-0099	7.089	89	751	The inspectors paraded the prisoners, and found them generally ragged and ill-clad, squalid and filthy in the extreme;
LJ006-0101	8.517	107	902	some, who had the semblance of covering on the upper part of their feet, had no soles to the shoes, and their bare feet were on the ground.
LJ006-0103	2.364	30	262	The allowance of food was not illiberal,
LJ006-0105	3.966	50	425	and not with weights and measures, no turnkey being present.
LJ006-0107	7.438	93	773	he sold tea, coffee, sugar, tobacco, although prohibited, and extra beer.
LJ006-0109	5.057	64	541	a perpetuation under another form of the old detestable custom of garnish.
LJ006-0111	5.324	67	567	He could trump up a false complaint against his fellow-prisoner, and so get him punished;
LJ006-0113	9.109	114	950	The authority of these wardsmen so improperly exalted, and so entirely unchecked, degenerated into a baneful despotism.
LJ006-0115	8.622	108	906	Their original capital had been a few shillings, and for this they purchased the right to tax their fellows to the extent of pounds per week.
LJ006-0117	6.753	85	714	that none of its inmates were suffered to make tea or coffee for themselves lest it should interfere with his sales.
LJ006-0121	6.056	76	643	for a petition of from one shilling, half pence to eight shillings, according to its length,
LJ006-0123	3.513	44	378	The man intrusted with this privilege was often the inner gatesman,
LJ006-0125	7.867	99	832	It was not strange that he should sometimes misuse his power, and when prisoners were not to be cajoled into securing his legal services,
LJ006-0127	6.381	80	678	in view of speaking to it at the trial, and he could easily do them a good turn -- or a very bad one.
LJ006-0129	5.069	64	539	He was on the most intimate and improperly familiar terms with the turnkeys,
LJ006-0131	8.529	107	893	and, if he chose, pass in, all provisions, money, clothes, and letters brought for prisoners by their friends.
LJ006-0133	5.383	68	572	The turnkeys complained bitterly that these old prisoners had more power than they themselves.
LJ006-0135	9.051	114	959	the victim of this cruel ill-usage having "more fear of the power of the wardsman to injure him, than confidence in the governor's power to protect him."
LJ006-0137	9.492	119	1001	They were not obliged to attend chapel, and seldom if ever went; "prisoners," said one of them under examination, "did not like the trouble of going to chapel."
LJ006-0139	8.807	111	928	Nobody interfered with them or regulated their conduct. They might get drunk when so disposed, and did so frequently, alone or in company.
LJ006-0141	3.792	48	410	The female wards-women were also given to intemperance.
LJ006-0143	2.677	34	293	There was no penalty attached to drunkenness.
LJ006-0145	2.619	33	289	He could indulge in snuff if a snuff-taker,
LJ006-0147	2.608	33	285	it was still freely introduced into the prison.
LJ006-0149	9.167	115	960	The turnkeys left the prisoners very much to themselves, never entering the wards after locking-up time, at dusk, till unlocking next morning,
LJ006-0151	9.551	120	1000	Many of them were otherwise and improperly occupied for hours every day in menial services for the governor, cleaning his windows or grooming his horse.
LJ006-0153	5.429	68	574	It was not strange that subordinates should neglect their duty when superiors set the example.
LJ006-0155	6.636	83	699	He may have erred in some points through ignorance, but in others he was clearly guilty of culpable neglect.
LJ006-0159	3.815	48	412	The prisoners declared that they did not see him oftener than twice a week;
LJ006-0161	6.195	78	658	Again, a turnkey deposed that his chief did not enter the wards more than once a fortnight.
LJ006-0163	5.313	67	566	and that he was constantly engaged attending sessions and going with drafts to the hulks.
LJ006-0165	8.459	106	889	sometimes he looked at his bolts and bars, but he never examined the cupboards, coal-boxes, or other possible hiding-places for cards
LJ006-0167	7.496	94	787	He only attended chapel once on Sunday, never on the week-day, and generally devoted the time service was in progress
LJ006-0169	2.376	30	262	He really did not know what passed in his jail
LJ006-0171	8.111	102	857	He was satisfied to let matters run on as in the old times, he said in his own justification; with him what was, was right,
LJ006-0173	6.625	83	696	He kept no daily journal of occurrences, and nothing, however important, was recorded at the time.
LJ006-0175	3.130	40	342	In his administration of discipline he was quite uncertain;
LJ006-0177	9.075	114	956	and it was not the least part of the blame imputed to him that he made special favorites of particular prisoners, retaining of his own accord in Newgate,
LJ006-0179	6.126	77	647	But, indeed, his whole rule was far too mild, and under this mistaken leniency
LJ006-0181	8.006	101	846	It was the same old story -- evil constantly in the ascendant, the least criminal at the mercy of the most depraved.
LJ006-0183	8.215	103	866	the apathy of the authorities, and the undue ascendancy of those who, as convicted felons, should have been most sternly repressed,
LJ006-0185	7.159	90	757	Edward Gibbon Wakefield, who spent three years in Newgate a little before the time of the inspectors' first report,
LJ006-0187	6.033	76	637	It was, moreover, in his opinion undoubtedly the greatest nursery of crime in London.
LJ006-0189	6.892	87	726	gambling, indirect contravention of parliamentary rules, instruction in all nefarious processes,
LJ006-0191	8.262	104	865	No provision whatever was made for the employment of prisoners, no materials were purchased, no trade instructors appointed.
LJ006-0193	8.053	101	842	Idle hands and unoccupied brains found in mischief the only means of whiling away the long hours of incarceration.
LJ006-0195	9.283	117	982	This was admitted in evidence by the turnkeys, and was proved by the appearance of the prison tables, which bore the marks of gaming-boards deeply cut into them.
LJ006-0197	9.237	116	974	pitch in the hole, cribbage, dominoes, and common tossing, at which as much as four or five shillings would change hands in an hour.
LJ006-0199	9.667	121	1015	the most popular being the "Times," "Morning Herald," and "Morning Chronicle"; on Sunday the "Weekly Dispatch," "Bell's Life," and the "Weekly Messenger."
LJ006-0201	5.023	63	533	went at once to his customers, who bought their paper and paid for it themselves.
LJ006-0203	8.958	112	933	and he had thus ample means of introducing to the prisoners the prohibited but always much-coveted and generally procurable weed.
LJ006-0207	6.509	82	689	One of these, published by Stockdale, the inspectors styled "a book of the most disgusting nature."
LJ006-0209	8.157	102	855	the donation of a philanthropic gentleman, Captain Brown, but these, particularly the Bibles, bore little appearance of having been used.
LJ006-0211	6.218	78	657	Spirits certainly were now excluded; but a potman, with full permission of the sheriffs,
LJ006-0213	5.708	72	604	The quantity to be issued per head was limited by the prison regulations to one pint
LJ006-0215	6.335	80	674	The beer-man brought in as much as he pleased; he sold it without the controlling presence of an officer.
LJ006-0217	7.519	94	786	There were more varied, and at times, especially when beer had circulated freely, more uproarious diversions.
LJ006-0219	8.215	103	869	leap-frog, puss in the corner, and "fly the garter," for which purpose the rugs were spread out to prevent feet slipping on the floor.
LJ006-0221	8.807	111	925	The weekly introduction of food, to which I shall presently refer, formed the basis of luxurious banquets, washed down by liquor
LJ006-0223	8.564	108	906	There was much swearing and bad language, the very worst that could be used, from the first thing in the morning to the last thing at night.
LJ006-0225	2.944	37	317	If any man presumed to turn in too early
LJ006-0227	3.409	43	368	or his bedclothes were drawn away across the room.
LJ006-0229	3.838	48	411	which they dropped smoldering into their fellow-prisoners' pockets.
LJ006-0231	9.342	117	980	These fights sometimes took place in the daytime, when a ring was regularly formed, and two or three stood by the door to watch for the officer's approach.
LJ006-0233	7.693	97	811	The prisoners in this way administered serious punishment on one another. Black eyes and broken noses were always to be seen.
LJ006-0235	7.368	93	777	The surgeon's journal produced to the inspectors contained numerous entries of terrible wounds inflicted in a cowardly way.
LJ006-0237	7.484	94	789	"A lad named Matthew White has had a wound in his eye by a bone thrown at him, which very nearly destroyed vision."
LJ006-0239	7.252	91	766	During the tumult a prisoner, who was one of the worst of the rioters, was bruised about the head and body.
LJ006-0241	6.126	77	649	A prisoner Baxter is in the infirmary in consequence of a severe injury to his wrist-joint.
LJ006-0247	9.678	121	1016	The prisoner who used the knife was secured, but it was the wardsman, and not the officers, to whom the report was made, and no official inquiry or punishment followed.
LJ006-0249	7.797	98	819	On one occasion a disturbance was raised which was not quelled until windows had been broken and forms and tables burnt.
LJ006-0251	4.082	52	440	but the presence and authority of the governor himself became indispensable.
LJ006-0253	5.255	66	555	the signal for the commencement of obscene talk, revelry, and violence.
LJ006-0255	7.112	89	748	but all could still obtain as much extra, and of a luxurious kind, as their friends chose to bring them in.
LJ006-0257	3.548	45	383	hot meat, poultry, and fish were also forbidden.
LJ006-0259	5.893	74	623	Many other articles were introduced by visitors, including money, tobacco, pipes, and snuff.
LJ006-0261	7.066	89	745	together with four bradawls, several large iron spikes, screws, nails, and knives;
LJ006-0263	5.568	70	588	and capable of becoming most dangerous weapons in the hands of desperate and determined men.
LJ006-0265	5.266	66	558	The untried might see their friends three times a week, the convicted only once.
LJ006-0267	5.708	72	600	yet many persons of notoriously loose life continually obtained egress.
LJ006-0269	9.051	114	953	Decency was, however, insured by a line of demarcation, and visitors were kept upon each side of a separated double iron railing.
LJ006-0271	9.562	120	998	which would have greatly helped to keep out bad characters. Some idea of the difficulty and inconvenience of these lax regulations as regards visiting,
LJ006-0273	6.253	79	664	enough to altogether upset what small show of decorum and discipline was still preserved in the prison.
LJ006-0275	7.112	89	747	to have access to the female side on Sundays and Wednesdays, in order to visit their supposed relations there.
LJ006-0277	7.194	90	756	But there were evils akin to those on the male side, prominent amongst which was the undue influence accorded to prisoners.
LJ006-0279	9.295	117	978	Wards-women were allowed much the same authority, with the same temptations to excess, and intoxication was not unknown among them and others.
LJ006-0281	1.133	15	135	in some yards
LJ006-0283	6.590	83	698	There was the same crowding in the sleeping arrangements as on the male side; the same scarcity of bedding.
LJ006-0285	4.349	55	468	which numbers of well-meaning but inquisitive people were anxious to witness.
LJ006-0287	8.099	102	855	The presence of so many strangers, many of them gentlemen, distracted the prisoners' attention, and could not be productive of much good.
LJ006-0289	7.147	90	752	We have seen that male prisoners visited their female relations and friends on the female side. Besides this,
LJ006-0291	2.573	33	287	to clean the governor's office in the male prison;
LJ006-0293	8.250	104	874	and the men could also at any time go for tea, coffee, and sugar to Mrs. Brown's shop, which was inside the female gate.
LJ006-0295	5.835	73	613	The governor was also personally responsible for gross contravention of this rule of separation,
LJ006-0297	9.667	121	1013	Some member of the Ladies' Association observed and commented upon the fact that a "young rosy-cheeked girl" had been kept by the governor from transportation,
LJ006-0299	8.715	109	915	His excuse was that he had given the girl his promise that she should not go, an assumption of prerogative which by no means rested with him;
LJ006-0301	7.414	93	781	This woman was really his servant, employed to help in cleaning, and taken on whenever there was extra work to be done.
LJ006-0303	5.278	66	557	This girl had been first engaged on account of the extra work entailed by certain prisoners
LJ006-0305	6.068	76	643	The house at this time was full of men and visitors; waiters came in from the taverns with meals.
LJ006-0307	5.220	66	560	There was reveling and roistering, as usual, with "high life below-stairs.
LJ007-0001	8.053	101	846	The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section ten: The first report of the inspector of prisons.
LJ007-0003	7.635	96	806	and Mrs. Fry with her colleagues still labored assiduously in Newgate, devoting themselves mainly to the female prison,
LJ007-0005	7.194	90	755	The inspectors paid tribute to the excellence of the motives of these philanthropic ladies, and recognized the good they did.
LJ007-0007	9.191	115	965	had provided work for those who had hitherto passed their time in total idleness, and had made the treatment of female transports on the way to New South Wales
LJ007-0009	1.342	17	154	They had tried, moreover,
LJ007-0011	9.086	114	949	But it was already plain that they constituted an independent authority within the jails; they were frequently in conflict with the chaplain,
LJ007-0013	6.323	80	675	that women should be frequently kept from chapel in order that they might attend the ladies' lectures and exhortations.
LJ007-0015	2.689	34	293	it had the bad effect of distracting attention,
LJ007-0017	8.320	104	876	It is to be feared too that although the surface was thus whitewashed and decorous, much that was vicious still festered and rankled beneath,
LJ007-0019	7.786	98	823	Even in the daytime, when supervision was withdrawn, "the language used to be dreadful," says one of the women when under examination;
LJ007-0021	5.139	65	552	"she had never witnessed such scenes before, and hopes she never shall again -- it was dreadful!"
LJ007-0023	6.323	80	679	The poor, who could afford no luxuries, went to bed early, but were kept awake by the revelries of the rich,
LJ007-0025	5.301	67	566	There were frequent quarrels and fights; shoes and other missiles were freely bandied about;
LJ007-0027	3.409	43	369	Bad as were the various parts of the jail already dealt with,
LJ007-0029	9.028	113	946	The condition of the capitally-convicted prisoners after sentence was still very disgraceful. The side they occupied, still known as the press-yard,
LJ007-0031	6.950	87	732	all classes of the condemned, those certain to suffer, and the larger number who were nearly certain of a reprieve,
LJ007-0033	3.270	41	348	All privacy was impossible under the circumstances.
LJ007-0035	3.653	46	393	The better-disposed complained bitterly of what they had to endure;
LJ007-0039	6.056	76	641	and when the inspectors visited Newgate they found the three certain to die in a day-room by themselves;
LJ007-0041	6.869	86	724	The whole of these seventeen had, however, a common airing-yard, and took their exercise there at the same time,
LJ007-0043	5.673	71	599	were associated continually with a number of those who could look with certainty on a mitigation of punishment.
LJ007-0045	8.912	112	943	They amused themselves after their own fashion; played all day long at blind-man's-buff and leap-frog, or beat each other with a knotted handkerchief,
LJ007-0047	6.184	78	655	"Men whose cases were dangerous, and those most seriously inclined, complained of these annoyances,"
LJ007-0049	7.577	95	794	they suffered sickening anxiety, and wished to be locked up alone. This indiscriminate association lasted for months,
LJ007-0051	8.947	112	941	The brutal callousness of the bulk of the inmates of the press-yard may be gathered from the prison punishment-book, which frequently recorded such entries as the following:
LJ007-0053	6.427	81	682	"Joseph Coleman put in irons for three days for striking one of the prisoners," in the same place.
LJ007-0055	4.547	57	482	The more peaceably disposed found some occupation in making Newgate tokens,
LJ007-0057	5.684	72	606	Turnkeys occasionally visited the press-yard, but its occupants were under little or no control.
LJ007-0059	6.787	85	717	had relaxed his efforts, because, according to his own account, he was so frequently stopped in the performance of his duties.
LJ007-0063	8.633	108	913	It is only fair to Mr. Cotton to add that, according to his own journal, he was unremitting in his attentions to convicts who were actually cast for death,
LJ007-0065	7.577	95	796	on the one hand, the Ladies' Association, supported and encouraged by public approval, trenched upon his peculiar province;
LJ007-0069	3.258	41	352	While admitting that he had had many difficulties to contend with,
LJ007-0071	3.397	43	366	in the face of impediments confessedly discouraging
LJ007-0073	3.002	38	327	to that line of conduct which his duty imposed on him
LJ007-0075	6.218	78	660	as effectually to rebuke and abash the profane spirit of the more insolent and daring of the criminals.
LJ007-0077	7.147	90	754	One of these were the criminal lunatics, who were at this time and for long previous continuously imprisoned there.
LJ007-0079	8.761	110	920	or arraignment, to an asylum, and the Secretary of State had the same power as regards any who became insane while undergoing sentence.
LJ007-0081	2.074	26	227	whose proper place was the asylum.
LJ007-0083	7.519	94	789	gives a total of thirty-nine lunatics confined in various jails, many of them guilty of murder and other serious crimes.
LJ007-0085	8.993	113	946	at Newgate and York Castle as long as five years; "at Ilchester and Morpeth for seven years; at Warwick for eight years,
LJ007-0087	8.076	101	845	at Appleby for thirteen years, at Anglesea for fifteen years, at Exeter for sixteen years, and at Pembroke
LJ007-0089	7.646	96	807	It was manifestly wrong that such persons, "visited by the most awful of calamities," should be detained in a common prison.
LJ007-0091	5.603	71	602	The lunatic became the sport of the idle and the depraved. His cure was out of the question;
LJ007-0093	9.005	113	943	The matter was still further complicated at Newgate by the presence within the walls of sham lunatics. Some of those included in the category
LJ007-0095	5.034	63	537	Prisoners indeed were known to boast that they had saved their necks by feigning insanity.
LJ007-0097	9.400	118	987	and not the least of the good services rendered by the new inspectors was their inquiry into the status of these unfortunate people, and their recommendation to improve it.
LJ007-0099	4.779	60	510	were the ten persons committed to Newgate by the House of Commons in eighteen thirty-five.
LJ007-0101	9.388	118	990	when a petition was presented against the return of Messrs. Adam Dundas and Fitzroy Kelly. Various witnesses, including Messrs. J. B. Dasent,
LJ007-0103	3.223	41	354	Mr. J. E. Sparrow and Mr. Clipperton
LJ007-0105	3.548	45	386	counsel for the two M.P.'s, was also concerned.
LJ007-0107	7.043	89	748	A resolution at once passed the House without division to commit the whole to Newgate, where they remained for various terms.
LJ007-0109	8.831	111	928	O'Mally sent in a medical certificate, declaring that the imprisonment was endangering his life, and after some question he was also released.
LJ007-0111	4.616	58	491	or witnesses who did not voluntarily come forward when the chance was given them.
LJ007-0113	7.310	92	769	were revived for the convenience of these gentlemen, whose incarceration was thus rendered as little like imprisonment as possible.
LJ007-0115	6.137	77	650	slept there, and had their meals provided for them from the Sessions House or London Coffee-House.
LJ007-0117	9.434	118	988	where the upper ward was exclusively appropriated to their use. They also had their meals sent in, and, with the food, wine almost ad libitum.
LJ007-0119	7.646	96	809	As a rule, visitors, many of them persons of good position, came and went all day long, and as late as nine at night;
LJ007-0121	6.335	80	677	There were no restraints, cards and backgammon were played, and the time passed in feasting and revelry.
LJ007-0123	5.139	65	547	and the inspectors expressed themselves still more strongly in reprehension of the practice.
LJ007-0125	9.214	116	975	It was diverted from its proper uses, and, as the "place of the greatest comfort," was allotted to persons who should not have been sent to Newgate at all.
LJ007-0127	4.756	60	509	"It may easily be imagined," say the inspectors, in speaking of the prison generally,
LJ007-0129	8.041	101	848	the sane and the insane, the young and the old, the trivial offender and the man about to suffer the extreme penalty of the law,
LJ007-0133	9.202	116	968	Valuable space was cumbered with many long and winding passages, numerous staircases, and unnecessarily thick and cumbrous inner walls.
LJ007-0135	8.796	110	917	The yards were narrow and confined, mainly because the ground plan was radically vicious. These were evils inseparable from the place.
LJ007-0137	8.390	105	874	More attention to ventilation, which was altogether neglected and inadequate, would have secured a better atmosphere for the unhappy inmates
LJ007-0139	6.474	81	678	Again, the discipline commonly deemed inseparable from every place of durance was entirely wanting.
LJ007-0141	5.754	72	607	and "to dispose him, by meditation and seclusion, to return to an honest life."
LJ007-0143	5.452	69	586	"is permitted to purchase whatever his own means or the means of his friends in or out of prison can afford,
LJ007-0147	9.237	116	969	communicating his own skill and aptitude in crime, or acquiring the lessons of greater adepts. He has access to newspapers, and of course
LJ007-0149	1.667	21	187	the jail, and the scaffold.
LJ007-0151	9.667	121	1007	and his connection with them is confirmed by that devotion and generosity towards their paramours in adversity for which these otherwise degraded women are remarkable.
LJ007-0153	9.342	117	978	is generally known to all the worst men in the country; not only without the inclination, but almost without the ability of returning to an honest life."
LJ007-0155	8.564	108	901	to be subjected to the same baneful influences, and to suffer the same moral deterioration, whether ultimately convicted or set free.
LJ007-0157	8.146	102	852	The evils of such association were aggravated by the unbroken idleness; one "evil inflamed the other;" reformation
LJ007-0159	4.883	62	524	Forced and constant intercourse with the most depraved individuals of his own class;
LJ007-0161	9.574	120	997	drink, gaming, obscene and blasphemous language; utter idleness, the almost unrestricted admission of money and luxuries;
LJ007-0163	6.915	87	724	all the tumultuous and diversified passions and emotions which circumstances like these must necessarily generate
LJ007-0165	7.588	95	794	any awakening truth, salutary exhortation, or imperfect resolutions of amendment can take root or grow.
LJ007-0167	7.461	94	788	framing a terrible indictment against those responsible for the condition of Newgate. Their words deserve to be quoted in full.
LJ007-0169	2.643	34	293	this picture of the existing state of Newgate
LJ007-0171	4.349	55	466	distinguished as the seat of religion, worth, and philanthropy,
LJ007-0175	6.950	87	732	but in opposition to the recorded denunciations of authority, and in defiance of the express enactments of the law,
LJ007-0177	6.404	81	686	We trust, however, that the day is at hand when this stain will be removed from the character of the city of London,
LJ007-0179	4.895	62	526	defeats the ends of justice, and disgraces the profession of a Christian country.
LJ007-0181	5.278	66	558	A committee of aldermen was forthwith appointed to report upon the inspectors' report,
LJ007-0183	8.575	108	904	traversing where it was possible the statements of the inspectors, and offering explanation and palliation of such evils as could not be denied.
LJ007-0187	6.869	86	724	the neglect of the condemned convicts, the filthy condition of the wards, the insufficiency of bedding and clothing,
LJ007-0189	6.718	84	707	The corporation evidently had the worst of it, and began to feel the necessity for undertaking the great work of reform.
LJ007-0191	2.689	34	293	has been productive of at least some advantage,
LJ007-0193	3.339	42	358	The measures of improvement introduced were mainly as follows:
LJ007-0197	7.937	100	836	The infirmary was enlarged, the admission of visitors limited, and the passing of articles prevented by a wire screen.
LJ007-0199	8.181	103	867	baths, fumigating places for clothing, wash-house, and the removal of dust-bins, completed the new arrangements in the main prison.
LJ007-0201	6.393	80	675	each was provided with an iron bedstead, and a small desk at which the condemned man might read or write.
LJ007-0203	3.537	45	382	"The mischief of jail associations," say the inspectors,
LJ007-0205	5.708	72	607	is not only permitted still to exist in the prison, but is rendered more powerful than before.
LJ007-0207	9.260	116	969	but this had the effect of throwing them into closer contact, and of making them more intimately acquainted with, more directly influential upon, one another.
LJ007-0209	6.091	77	649	they return to the charge, and again call the corporation to task for their mismanagement of Newgate.
LJ007-0211	6.753	85	715	"In our late visits," they say, "we have seen manifest indications of a retrograde movement in this respect,
LJ007-0213	3.676	46	390	Again the following year the inspectors repeat their charge.
LJ007-0215	6.427	81	677	are the association of prisoners, and the unusual contamination to which such association gives rise.
LJ007-0217	1.122	15	137	They go on to say
LJ007-0219	5.963	75	634	The effects of the imprisonment are to vitiate its inmates, to extend their acquaintanceship with each other,
